active,company_id,reconcile,code,id,child_consol_ids,tax_ids,currency_id,name,note,parent_id:id,currency_mode,user_type,type
VERDADERO,Demo Alfa,,0,alfa_1,,,,ALFA,,,current,View,view
VERDADERO,Demo Alfa,,1*,alfa_2,,,,ACTIVO,,alfa_1,current,View,view
VERDADERO,Demo Alfa,,11*,alfa_3,,,,ACTIVO CORRIENTE,,alfa_2,current,View,view
VERDADERO,Demo Alfa,,1101*,alfa_4,,,,DISPONIBILIDADES,,alfa_3,current,View,view
VERDADERO,Demo Alfa,,110101*,alfa_5,,,,CAJA,,alfa_4,current,View,view
VERDADERO,Demo Alfa,,110101001,alfa_6,,,,Caja Moneda Argentina,,alfa_5,current,Cash,other
VERDADERO,Demo Alfa,,110102*,alfa_7,,,,BANCOS,,alfa_4,current,View,view
VERDADERO,Demo Alfa,,110102001,alfa_8,,,,Banco Macro Cta. Cte.,,alfa_7,current,Cash,other
VERDADERO,Demo Alfa,,110102002,alfa_9,,,,Banco Nacion Cta. Cte.,,alfa_7,current,Cash,other
VERDADERO,Demo Alfa,,110102003,alfa_10,,,,Banco Patagonia Cta. Cte.,,alfa_7,current,Cash,other
VERDADERO,Demo Alfa,,1102*,alfa_11,,,,CREDITOS POR VENTA,,alfa_3,current,View,view
VERDADERO,Demo Alfa,,110201*,alfa_12,,,,DEUDORES POR VENTA,,alfa_11,current,View,view
VERDADERO,Demo Alfa,VERDADERO,11020100333,alfa_13,,,,CARINA NICOLAIDES,,alfa_12,current,Receivable,receivable
VERDADERO,Demo Alfa,,110201001,alfa_87,,,,Deudores por Ventas Comunes,,alfa_12,current,Cash,other
VERDADERO,Demo Alfa,VERDADERO,11020100100,alfa_88,,,,SIN MOVIMIENTOS,,alfa_12,current,Cash,receivable
VERDADERO,Demo Alfa,,110201002,alfa_89,,,,Cheques en Cartera,,alfa_12,current,Cash,other
VERDADERO,Demo Alfa,,110201003,alfa_90,,,,Cheques Rechazados,,alfa_12,current,Cash,other
VERDADERO,Demo Alfa,,11020100101,alfa_91,,,,VICTOR HUGO CLAVIJO,,alfa_12,current,Receivable,receivable
VERDADERO,Demo Alfa,,110202*,alfa_305,,,,OTROS DEUDORES POR VENTAS,,alfa_11,current,View,view
VERDADERO,Demo Alfa,,110202001,alfa_306,,,,Ds. por Vta. en Gestion Judic.,,alfa_305,current,Receivable,receivable
VERDADERO,Demo Alfa,,1103*,alfa_307,,,,OTROS CREDITOS CORRIENTES,,alfa_3,current,View,view
VERDADERO,Demo Alfa,,110301*,alfa_308,,,,ANTICIPOS,,alfa_307,current,View,view
VERDADERO,Demo Alfa,,110301001,alfa_309,,,,Anticipos a Proveedores,,alfa_308,current,Payable,payable
VERDADERO,Demo Alfa,,110301002,alfa_310,,,,Deposito Judicial,,alfa_308,current,Payable,payable
VERDADERO,Demo Alfa,,110301003,alfa_311,,,,Anticipo de Sueldo,,alfa_308,current,Payable,payable
VERDADERO,Demo Alfa,,110302*,alfa_312,,,,OTROS DEUDORES COMUNES,,alfa_307,current,View,view
VERDADERO,Demo Alfa,,110302001,alfa_313,,,,Otros Deudores Comunes Cta,,alfa_312,current,Receivable,receivable
VERDADERO,Demo Alfa,,110303000,alfa_314,,,,VALORES A RENDIR,,alfa_307,current,Payable,payable
VERDADERO,Demo Alfa,,110304*,alfa_315,,,,ANTICIPOS IMPOSITIVOS,,alfa_307,current,View,view
VERDADERO,Demo Alfa,,110304001,alfa_316,,,,Iva Credito Fiscal,,alfa_315,current,Receivable,receivable
VERDADERO,Demo Alfa,,110304002,alfa_317,,,,Iva Saldo Libre Disponibilidad,,alfa_315,current,Receivable,receivable
VERDADERO,Demo Alfa,,110304003,alfa_318,,,,Retenciones Iva,,alfa_315,current,Receivable,receivable
VERDADERO,Demo Alfa,,110304004,alfa_319,,,,Retenciones IIBB,,alfa_315,current,Receivable,receivable
VERDADERO,Demo Alfa,,110304005,alfa_320,,,,Ret Imp a las Ganancias,,alfa_315,current,Receivable,receivable
VERDADERO,Demo Alfa,,110304006,alfa_321,,,,Ret. Comercio e Industria,,alfa_315,current,Receivable,receivable
VERDADERO,Demo Alfa,,110304007,alfa_322,,,,Percepciones IVA,,alfa_315,current,Receivable,receivable
VERDADERO,Demo Alfa,,110304008,alfa_323,,,,Pago a Cuenta IVA,,alfa_315,current,Receivable,receivable
VERDADERO,Demo Alfa,,110304009,alfa_324,,,,Anticipo de Imp. a las Gcias.,,alfa_315,current,Receivable,receivable
VERDADERO,Demo Alfa,,110304010,alfa_325,,,,Percepciones IIBB,,alfa_315,current,Receivable,receivable
VERDADERO,Demo Alfa,,110304011,alfa_326,,,,IVA Saldo Favor Art 24 1ra parr,,alfa_315,current,Receivable,receivable
VERDADERO,Demo Alfa,,110304012,alfa_327,,,,IVA Saldo Favor Art 24 2da parr,,alfa_315,current,Receivable,receivable
VERDADERO,Demo Alfa,,110305*,alfa_328,,,,ACCIONISTAS CUENTAS PARTICULAR,,alfa_307,current,View,view
VERDADERO,Demo Alfa,,110305001,alfa_329,,,,Socio Daniel Giacone,,alfa_328,current,Cash,other
VERDADERO,Demo Alfa,,110306*,alfa_330,,,,DOCUMENTOS A COBRAR,,alfa_307,current,View,view
VERDADERO,Demo Alfa,,110306001,alfa_331,,,,Otros Documentos a Cobrar,,alfa_330,current,Receivable,receivable
VERDADERO,Demo Alfa,,1104*,alfa_332,,,,BIENES DE CAMBIO,,alfa_3,current,View,view
