active,company_id,reconcile,code,id,child_consol_ids,tax_ids,currency_id,name,note,parent_id:id,currency_mode,user_type,type
VERDADERO,Demo AVION,,420501000,avion_439,,,,Sueldos de Adm.,,avion_438,current,Payable,payable
VERDADERO,Demo AVION,,420502000,avion_440,,,,Cargas Sociales Adm.,,avion_438,current,Payable,payable
VERDADERO,Demo AVION,,420503000,avion_441,,,,Gratif. Extraord. Adm.,,avion_438,current,Payable,payable
VERDADERO,Demo AVION,,420504000,avion_442,,,,Viaticos Adm.,,avion_438,current,Payable,payable
VERDADERO,Demo AVION,,420505000,avion_443,,,,Refrig. y Coimda Adm.,,avion_438,current,Payable,payable
VERDADERO,Demo AVION,,420506000,avion_444,,,,Unif. y Ropa de Trabajo Adm,,avion_438,current,Payable,payable
VERDADERO,Demo AVION,,420507000,avion_445,,,,Libreria,,avion_438,current,Payable,payable
VERDADERO,Demo AVION,,420508000,avion_446,,,,Imprenta Facturas,,avion_438,current,Payable,payable
VERDADERO,Demo AVION,,420509000,avion_447,,,,Honorarios y Asesoramiento,,avion_438,current,Payable,payable
VERDADERO,Demo AVION,,420510000,avion_448,,,,Insumos Informaticos,,avion_438,current,Payable,payable
VERDADERO,Demo AVION,,420511000,avion_449,,,,Programacion y Sistemas,,avion_438,current,Payable,payable
VERDADERO,Demo AVION,,420512000,avion_450,,,,Agua y Gas,,avion_438,current,Payable,payable
VERDADERO,Demo AVION,,420513000,avion_451,,,,Telefonia Fija e Internet,,avion_438,current,Payable,payable
VERDADERO,Demo AVION,,420514000,avion_452,,,,Telefonia Movil Adm.,,avion_438,current,Payable,payable
VERDADERO,Demo AVION,,420515000,avion_453,,,,Serv. Postales y Encomiendas,,avion_438,current,Payable,payable
VERDADERO,Demo AVION,,420516000,avion_454,,,,Serv. Varios y de Terceros,,avion_438,current,Payable,payable
VERDADERO,Demo AVION,,420517000,avion_455,,,,Limpieza y Desinfeccion,,avion_438,current,Payable,payable
VERDADERO,Demo AVION,,420518000,avion_456,,,,Dif. de Caja,,avion_438,current,Payable,payable
VERDADERO,Demo AVION,,420519000,avion_457,,,,Cursos de Capacitacion Adm.,,avion_438,current,Payable,payable
VERDADERO,Demo AVION,,420520000,avion_458,,,,Perdidas por Robo,,avion_438,current,Payable,payable
VERDADERO,Demo AVION,,420521000,avion_459,,,,Otros Gastos,,avion_438,current,Payable,payable
VERDADERO,Demo AVION,,420522000,avion_460,,,,Alquileres Oficinas,,avion_438,current,Payable,payable
